NAME,LATITUDE,LONGITUDE
"Goodyear, Arizona",33.4356089,-112.3579115
"Phoenix, Arizona",33.4485866,-112.0773455
"Eastvale, California",33.9766799,-117.5598443
"Irvine, California",33.6856969,-117.8259818
"San Bernardino, California",34.1083449,-117.2897651
"Patterson, California",37.471623,-121.1296948
"Tracy, California",37.718829,-121.434379759455
"Stockton, California",37.9577016,-121.2907795
"Newark, California",37.5296593,-122.0402398
"Moreno Valley, California",33.937517,-117.2305943
"Redlands, California",34.0707195,-117.099505578628
"Windsor Locks, Connecticut",41.9229568,-72.6597963667531
"Middletown, Delaware",39.449556,-75.7163206
"New Castle, Delaware",39.6159851,-75.6629559
"Davenport, Florida",28.1614046,-81.6017416
"Ruskin, Florida",27.7208575,-82.4331527
"Lakeland, Florida",28.0394654,-81.9498041
"Doral, Florida",25.8184725,-80.3539678130979
"East Point, Georgia",33.6654335,-84.4864894515675
"Lithia Springs, Georgia",33.7939953,-84.6604898
"Union City, Georgia",33.5870558,-84.5424298
"Jeffersonville, Indiana",38.2770227,-85.7371603
"Plainfield, Indiana",39.7042123,-86.3994386
"Whitestown, Indiana",39.9972626,-86.3458295
"Indianapolis, Indiana",39.7683331,-86.1583501
"Joliet, Illinois",41.525031,-88.0817251
"Edwardsville, Illinois",38.8114364,-89.9531569
"Lenexa, Kansas",38.953669,-94.7337339
"Edgerton,Kansas",38.7647302,-95.0080223
"Campbellsville, Kentucky",37.3433974,-85.3419068
"Hebron, Kentucky",39.0658928,-84.7010575
"Lexington, Kentucky",38.0464066,-84.4970392
"Louisville, Kentucky",38.2542376,-85.7594069
"Shepherdsville, Kentucky",37.9883991,-85.7157923
"Baltimore, Maryland",39.2908816,-76.6107589
"Fall River, Massachusetts",41.7010642,-71.1546366
"Stoughton, Massachusetts",42.1250995,-71.1022711
"Shakopee, Minnesota",44.7980186,-93.5268985
"Fernley, Nevada",39.5483805,-119.214468455863
"North Las Vegas, Nevada",36.2008371,-115.1120957
"Reno, Nevada",39.52927,-119.8136743
